Ref,Val,Package,PosX,PosY,Rot,Side
"C10","47u/25V Al","CP_Radial_D6.3mm_P2.50mm",26.050000,-51.550000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",4.360000,-12.060000,0.000000,top
"C20","470u/25V Al","CP_Radial_D8.0mm_P3.50mm",38.615000,-43.115000,0.000000,top
"C21","220u/25V Al","CP_Radial_D6.3mm_P2.50mm",62.050000,-52.550000,0.000000,top
"C30","100u/25V Al","CP_Radial_D6.3mm_P2.50mm",72.550000,-52.550000,-90.000000,top
"C31","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.360000,-23.060000,0.000000,top
"C32","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",78.360000,-31.560000,0.000000,top
"C33","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",78.360000,-35.060000,0.000000,top
"C34","220u/16V Al","CP_Radial_D6.3mm_P2.50mm",50.050000,-53.050000,0.000000,top
"C35","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",29.860000,-42.560000,0.000000,top
"C36","100u/10V Al","CP_Radial_D5.0mm_P2.00mm",68.685000,-62.185000,-90.000000,top
"C37","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",80.032000,-50.639000,90.000000,top
"C38","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.360000,-59.560000,0.000000,top
"C39","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.564000,-64.685000,0.000000,top
"C40","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.165000,-78.439000,0.000000,top
"C41","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.860000,-79.060000,0.000000,top
"C42","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.085000,-83.820000,0.000000,top
"C43","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",78.426000,-87.210000,90.000000,top
"C44","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.560000,-85.860000,90.000000,top
"C45","22n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.860000,-85.060000,0.000000,top
"C46","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",60.860000,-86.060000,0.000000,top
"D1","P6KE15A","D_DO-41_SOD81_P10.16mm_Horizontal",39.720000,-52.220000,90.000000,top
"D2","SS24","D_DO-41_SOD81_P10.16mm_Horizontal",80.720000,-59.220000,90.000000,top
"D3","SS54","D_DO-41_SOD81_P10.16mm_Horizontal",34.220000,-52.220000,90.000000,top
"D4","SS34","D_SMA",35.831000,-21.259000,90.000000,top
"D5","SS14","D_SOD-123",88.891000,-3.817000,0.000000,top
"F1","T3.15A","Fuseholder_Littelfuse_100_series_5x20mm",22.715000,-8.715000,0.000000,top
"J1","12V IN","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",86.812000,-49.312000,0.000000,top
"J2","NEMA17","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",58.515000,-94.315000,90.000000,top
"J5","28BYJ-1","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",94.380000,-59.880000,0.000000,top
"J6","28BYJ-2","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",94.400000,-78.443000,0.000000,top
"J7","28BYJ-3","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",43.480000,-94.380000,90.000000,top
"J8","HOME1","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",33.750000,-83.750000,0.000000,top
"J10","HOME2","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",42.250000,-83.750000,0.000000,top
"J12","HOME3","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",50.750000,-83.750000,0.000000,top
"J14","BUP-30S","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",73.515000,-94.315000,90.000000,top
"J15","BUZZER 5V","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",85.915000,-94.315000,90.000000,top
"J16","PUMP 12V","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",86.750000,-76.750000,90.000000,top
"J17","MSP3520 LCD","PinHeader_1x09_P2.54mm_Vertical",24.750000,-43.650000,90.000000,top
"J18","EC11","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",5.815000,-49.815000,0.000000,top
"J23","MSP3520 TP","PinHeader_1x05_P2.54mm_Vertical",4.150000,-64.150000,0.000000,top
"J_USB","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",89.975000,-34.475000,0.000000,top
"L1","SRP7028A-150M","L_Bourns_SRP7028A_7.3x6.6mm",62.428000,-42.258000,0.000000,top
"Q1","AOD4184","TO-252-3_TabPin2",52.250000,-42.450000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",48.213000,-77.423000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.860000,-79.060000,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.860000,-86.060000,0.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",48.220000,-66.520000,0.000000,top
"R10","10R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",4.360000,-8.560000,0.000000,top
"R20","52.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.481000,-23.176000,0.000000,top
"R21","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.560000,-23.860000,90.000000,top
"R23","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.360000,-28.060000,0.000000,top
"R30","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",86.020000,-62.220000,90.000000,top
"R31","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",48.220000,-61.020000,0.000000,top
"R32","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.860000,-68.560000,0.000000,top
"R33","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.860000,-69.560000,0.000000,top
"R34","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.060000,-74.860000,90.000000,top
"R35","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.098000,-78.097000,0.000000,top
"R40","0.11R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.060000,-79.860000,90.000000,top
"R41","0.11R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.560000,-80.860000,90.000000,top
"R42","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",60.860000,-82.560000,0.000000,top
"R43","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.860000,-82.560000,0.000000,top
"R44","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.360000,-82.560000,0.000000,top
"R45","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.360000,-86.060000,0.000000,top
"R46","2k2","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",35.220000,-68.020000,0.000000,top
"R47","2k2","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",56.520000,-72.720000,90.000000,top
"R48","2k2","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",35.220000,-73.520000,0.000000,top
